epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1880.43,1.18962,1.32851,0.00706,0.68836,0.57689,0.6304,0.46441,1.14746,1.23392,0.0088,0.000199986,0.000199986,0.0802013
2,3694.15,1.18447,1.32211,0.00698,0.68822,0.58432,0.6328,0.46605,1.14255,1.23244,0.00875,0.000396027,0.000396027,0.0603974
3,5491.38,1.18732,1.32925,0.00701,0.69573,0.58115,0.63527,0.46768,1.14195,1.22883,0.00875,0.000588107,0.000588107,0.0405895
4,7277.39,1.19321,1.34327,0.00707,0.69591,0.58349,0.63642,0.46856,1.14168,1.22531,0.00876,0.000776227,0.000776227,0.0207776
5,9069.62,1.20515,1.3739,0.00721,0.69176,0.58179,0.63518,0.46853,1.14086,1.22411,0.00874,0.000960387,0.000960387,0.00096174
6,10862.1,1.21722,1.40387,0.00732,0.69028,0.58283,0.63503,0.46837,1.13984,1.22586,0.00872,0.0009505,0.0009505,0.0009505
7,12650.3,1.21894,1.4032,0.00737,0.68894,0.58265,0.63567,0.46881,1.14124,1.22273,0.00875,0.0009406,0.0009406,0.0009406
8,14441.9,1.218,1.39946,0.00732,0.69238,0.5809,0.63495,0.46819,1.14129,1.22447,0.00874,0.0009307,0.0009307,0.0009307
