epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,834.449,1.16959,1.7781,0.00823,0.61906,0.55992,0.57926,0.41016,1.09817,1.73667,0.0101,0.0008647,0.0008647,0.0008647
43,854.59,1.17681,1.75832,0.00814,0.62083,0.52141,0.57732,0.40489,1.09263,1.73112,0.01,0.0008614,0.0008614,0.0008614
44,874.665,1.16267,1.73511,0.00816,0.67491,0.51373,0.58543,0.41274,1.09686,1.71463,0.00997,0.0008581,0.0008581,0.0008581
45,894.92,1.15514,1.71542,0.00797,0.58769,0.57976,0.58541,0.41017,1.09709,1.69836,0.01,0.0008548,0.0008548,0.0008548
46,915.446,1.17624,1.71227,0.00809,0.58723,0.5794,0.57713,0.40242,1.10069,1.703,0.01006,0.0008515,0.0008515,0.0008515
47,934.671,1.16221,1.69906,0.00805,0.62328,0.5516,0.59304,0.42037,1.09124,1.68923,0.00994,0.0008482,0.0008482,0.0008482
48,955.016,1.1624,1.66919,0.00808,0.61484,0.57591,0.59665,0.41968,1.09783,1.67969,0.01002,0.0008449,0.0008449,0.0008449
49,975.108,1.1521,1.68279,0.00819,0.67785,0.51586,0.60051,0.4243,1.09452,1.6869,0.01,0.0008416,0.0008416,0.0008416
50,995.426,1.15282,1.65061,0.00796,0.65148,0.56685,0.60171,0.42642,1.09021,1.6608,0.00989,0.0008383,0.0008383,0.0008383
51,1014.72,1.15517,1.64649,0.00796,0.64965,0.54859,0.59734,0.42057,1.1013,1.65335,0.01004,0.000835,0.000835,0.000835
52,1033.78,1.16568,1.65,0.00804,0.64706,0.5646,0.6009,0.42888,1.09621,1.65687,0.00993,0.0008317,0.0008317,0.0008317
53,1052.82,1.1543,1.64335,0.00802,0.65329,0.56926,0.59943,0.42008,1.09647,1.64381,0.00999,0.0008284,0.0008284,0.0008284
54,1071.76,1.1525,1.62336,0.00801,0.60622,0.58484,0.60578,0.43013,1.0952,1.63174,0.00999,0.0008251,0.0008251,0.0008251
